emp_no,first_name,last_name,to_date
10777,Mizuhito,Kemmerer,9999-01-01
10778,Selwyn,Merey,9999-01-01
10791,Tadahiko,Sgarro,9999-01-01
10803,Katsuyuki,Velasco,9999-01-01
10808,Chenxi,Leijenhorst,9999-01-01
10847,Theirry,Danley,9999-01-01
10848,Fen,Bratsberg,9999-01-01
10878,Lakshmi,Deville,9999-01-01
10879,Muzhong,Chleq,9999-01-01
10883,Shimshon,Champarnaud,9999-01-01
10895,Vishwani,Petersohn,9999-01-01
10909,Georgi,Atchley,9999-01-01
10912,Oscal,Fasbender,9999-01-01
10918,Susumu,Reghbati,9999-01-01
10921,Mara,Bahi,9999-01-01
10927,Gal,Scallan,9999-01-01
10936,Mountaz,Schicker,9999-01-01
10965,Eckart,Braunschweig,9999-01-01
10969,Premal,Noriega,9999-01-01
10974,Muneo,Papsdorf,9999-01-01
10986,Masako,Schiper,9999-01-01
10989,Sumali,Candan,9999-01-01
10990,Shin,Foote,9999-01-01
11009,Alper,Axelband,9999-01-01
11012,Taegyun,Speckmann,9999-01-01
11019,Leon,Huttel,9999-01-01
11028,Miyeon,Krider,9999-01-01
11031,Ottavia,Walstra,9999-01-01
11038,Jinya,Beidas,9999-01-01
11042,Gou,Breugel,9999-01-01
11051,Przemyslawa,Erol,9999-01-01
11070,Adib,Raney,9999-01-01
11081,Barry,Boyle,9999-01-01
11100,Berna,Cochrane,9999-01-01
11106,Aris,Iwayama,9999-01-01
11113,Shahab,Peng,9999-01-01
11121,Vugranam,Kakkad,9999-01-01
11133,Nalini,Azulay,9999-01-01
11137,Hugh,Luca,9999-01-01
11162,Kauko,Narlikar,9999-01-01
11180,Mitsuyuki,Bojadziev,9999-01-01
11197,Tadahiro,Fordan,9999-01-01
11203,Sakthirel,Yetto,9999-01-01
11204,Diederik,Covnot,9999-01-01
11207,Saeed,Gips,9999-01-01
11208,Saniya,Valtorta,9999-01-01
11211,Yurij,Rissland,9999-01-01
11217,Kellie,Mawatari,9999-01-01
11232,Hidefumi,Crelier,9999-01-01
11240,Kiam,Condotta,9999-01-01
11249,Randi,Cyre,9999-01-01
11251,Bezalel,Chinal,9999-01-01
11268,Aimee,Petersohn,9999-01-01
11291,Gino,Glowinski,9999-01-01
11295,Abdelkader,Lanzelotte,9999-01-01
11320,Atilio,McAlpine,9999-01-01
11322,Nathalie,Pocchiola,9999-01-01
11338,Kwangsub,Hanratty,9999-01-01
11339,Flemming,Massonet,9999-01-01
11347,Anneli,Jonsson,9999-01-01
11380,Kenroku,Pelc,9999-01-01
11385,Shiv,Ullian,9999-01-01
11393,Junsik,Junot,9999-01-01
11404,Bedrich,Borovoy,9999-01-01
11415,Sanjiv,Anido,9999-01-01
11441,Marlo,Aingworth,9999-01-01
11449,Kotesh,Asser,9999-01-01
11459,Duke,Suomi,9999-01-01
11461,Kish,Cronau,9999-01-01
11469,Guttorm,Giaccio,9999-01-01
11477,Fox,Narahari,9999-01-01
11501,Karsten,Ranum,9999-01-01
11509,Aleksander,Feldhoffer,9999-01-01
11513,Otmar,Mahnke,9999-01-01
11518,Jinxi,Oxman,9999-01-01
11524,Xiadong,Standera,9999-01-01
11527,Alagu,Boyle,9999-01-01
11528,Zito,Dolinsky,9999-01-01
11537,DAIDA,Pehl,9999-01-01
11554,Subhash,Taubenfeld,9999-01-01
11562,Rimli,Alencar,9999-01-01
11568,Martins,Fujisaki,9999-01-01
11578,Edwin,Rosti,9999-01-01
11588,Kaijung,Panangaden,9999-01-01
11603,Herb,Swen,9999-01-01
11607,Tomokazu,Foong,9999-01-01
11624,Adil,Gammage,9999-01-01
11640,Valeri,Coorg,9999-01-01
11647,Magy,Nitsche,9999-01-01
11660,Gill,Stenning,9999-01-01
11676,Valeri,Ferriere,9999-01-01
11681,Fumitake,Benzmuller,9999-01-01
11684,Oksana,Gide,9999-01-01
11696,Dante,Rothe,9999-01-01
11732,Sanjoy,Ranft,9999-01-01
11738,Tadahiro,Lichtman,9999-01-01
11746,Koichi,Marrakchi,9999-01-01
11751,Jiafu,Emiris,9999-01-01
11764,Sanjay,Anick,9999-01-01
11769,Chandrasekaran,Lampe,9999-01-01
11805,Rosine,Grandbois,9999-01-01
11810,Amabile,Bhattacharjee,9999-01-01
11813,Gita,Muhlberg,9999-01-01
11817,Niranjan,Markovitch,9999-01-01
11838,Taiji,Nitta,9999-01-01
11844,Shawna,Demeyer,9999-01-01
11853,Zeljko,Kusakabe,9999-01-01
11857,Divier,Farrag,9999-01-01
11864,Pradeep,Kriebel,9999-01-01
11894,Mitchel,Validov,9999-01-01
11897,Cordelia,Setlzner,9999-01-01
11906,Hideo,Boguraev,9999-01-01
11915,Miomir,Mawatari,9999-01-01
11931,Gunilla,Chiodo,9999-01-01
11933,Basil,Erman,9999-01-01
11949,Martijn,Harbusch,9999-01-01
11983,Jaana,Hedayat,9999-01-01
11987,Vidya,Schaar,9999-01-01
12025,Jaewoo,Heiserman,9999-01-01
12036,Mads,Ratzlaff,9999-01-01
12037,Arunas,Katzenelson,9999-01-01
12050,Yuchang,Tchuente,9999-01-01
12052,Masako,Khasidashvili,9999-01-01
12062,Margareta,Worfolk,9999-01-01
12069,Ayonca,Burnard,9999-01-01
12070,Ger,Shokrollahi,9999-01-01
12076,Karlis,Siprelle,9999-01-01
12082,Xinan,Yamaashi,9999-01-01
12087,Weijing,Jumpertz,9999-01-01
12089,Bilhanan,Socorro,9999-01-01
12099,Nobuyoshi,Kuzuoka,9999-01-01
12122,Satoru,Krone,9999-01-01
12125,Shounak,Erman,9999-01-01
12128,Yannik,Barreiro,9999-01-01
12149,Suebskul,Grandbois,9999-01-01
12159,Shem,Perly,9999-01-01
12165,Xiaobin,Maquelin,9999-01-01
12183,Harngdar,Iisaku,9999-01-01
12192,Feiyu,Klyachko,9999-01-01
12206,Barton,Janetzko,9999-01-01
12221,Vincent,Melter,9999-01-01
12222,Abdelwaheb,Holburn,9999-01-01
12223,Niteen,Koyama,9999-01-01
12247,Subbu,Penttonen,9999-01-01
12249,Eldridge,Sadowski,9999-01-01
12254,Chaitali,Stafford,9999-01-01
12256,Guadalupe,Reghbati,9999-01-01
12264,Mart,Pagter,9999-01-01
12272,Behnaam,Grandbois,9999-01-01
12276,Yongmin,Lenart,9999-01-01
12308,Mototsugu,Cronau,9999-01-01
12311,Susanne,Lubachevsky,9999-01-01
12312,Chenye,Velasco,9999-01-01
12327,DAIDA,Bruckman,9999-01-01
12335,Arnould,Genin,9999-01-01
12341,Rasiah,Luga,9999-01-01
12343,Sorina,Slaats,9999-01-01
12365,Kamakshi,Bisiani,9999-01-01
12373,Mooi,Driscoll,9999-01-01
12395,Sanjit,Felder,9999-01-01
12399,Mihalis,Luga,9999-01-01
12411,Shao,Ibel,9999-01-01
12413,Hugh,Gadepally,9999-01-01
12415,Uri,Sluis,9999-01-01
12417,Dannz,Spelt,9999-01-01
12422,Berhard,Demos,9999-01-01
12451,Pramod,Marzano,9999-01-01
12454,Kerryn,Farris,9999-01-01
12464,Shai,Milicic,9999-01-01
12475,Filipe,Roison,9999-01-01
12478,Yahiko,Hopewell,9999-01-01
12489,Arnould,Munck,9999-01-01
12501,Morrie,Matheson,9999-01-01
12504,Adly,Rosaz,9999-01-01
12541,Shih,Nanard,9999-01-01
12542,Kazuhide,Bouloucos,9999-01-01
12551,Jeane,Tzvieli,9999-01-01
12553,Aral,Vesna,9999-01-01
12557,Stafford,Kopetz,9999-01-01
12596,Breannda,Roisin,9999-01-01
12601,Ghassan,Simkin,9999-01-01
12635,Xinyu,Restivo,9999-01-01
12637,Poorav,Karner,9999-01-01
12638,Yuqun,Seiwald,9999-01-01
12642,Suebskul,Gips,9999-01-01
12651,Pragnesh,Bael,9999-01-01
12662,Leucio,Alvarado,9999-01-01
12663,Nobuyoshi,Stellhorn,9999-01-01
12664,Zhonghua,Parveen,9999-01-01
12678,Carrsten,Borovoy,9999-01-01
12689,Luerbio,Boudaillier,9999-01-01
12691,Oddvar,Gils,9999-01-01
12694,Kazuhira,Luders,9999-01-01
12697,Uri,Brizzi,9999-01-01
12709,Ronghao,Botman,9999-01-01
12717,Tzu,Jiafu,9999-01-01
12722,Elliott,Cheshire,9999-01-01
12730,Barry,Perl,9999-01-01
12731,Yongmao,Waymire,9999-01-01
12732,Mara,Takanami,9999-01-01
12734,Gil,Frijda,9999-01-01
12755,Rildo,Rodite,9999-01-01
12759,LiMin,Kuszyk,9999-01-01
12773,Jenwei,Lovengreen,9999-01-01
12798,Lillian,Beeson,9999-01-01
12815,Sushant,Junot,9999-01-01
12816,Freyja,Ramras,9999-01-01
12848,Kazuhide,Smeets,9999-01-01
12853,Mang,Brobst,9999-01-01
12863,Leif,Matheson,9999-01-01
12872,Marl,Schmittgen,9999-01-01
12876,Apostol,Goodrum,9999-01-01
12888,Martien,Erni,9999-01-01
12890,Neven,Casley,9999-01-01
12893,Licheng,Crouzet,9999-01-01
12905,Munehiro,Gecsei,9999-01-01
12926,Heekeun,Luby,9999-01-01
12937,Arup,Cincotta,9999-01-01
12940,Odinaldo,Farrar,9999-01-01
12941,Tommaso,Perelgut,9999-01-01
12949,Geoff,Asrin,9999-01-01
12951,Mohammad,Keirsey,9999-01-01
12972,Juyoung,Azevdeo,9999-01-01
12977,Byong,Markovitch,9999-01-01
13012,Florina,Harbusch,9999-01-01
13046,Vivian,Stafford,9999-01-01
13049,Fan,Naudin,9999-01-01
13062,Xinglin,Baak,9999-01-01
13075,Rosella,Morrin,9999-01-01
13096,Ibibia,Armand,9999-01-01
13124,Quingbo,Garnick,9999-01-01
13134,Lorien,Chepyzhov,9999-01-01
13146,Haldon,Erie,9999-01-01
13147,Shichao,Ginesta,9999-01-01
13156,Akeel,Millington,9999-01-01
13165,Lucian,Benner,9999-01-01
13170,Cheong,Bernardeschi,9999-01-01
13171,Anoosh,Birnbaum,9999-01-01
13173,Arve,Horswill,9999-01-01
13186,Kyoichi,Barbanera,9999-01-01
13192,Rosita,Flowers,9999-01-01
13210,Jianhua,Klassen,9999-01-01
13213,Hein,Billawala,9999-01-01
13221,Premsyl,Famili,9999-01-01
13232,Mitchel,Fujisaki,9999-01-01
13233,Alselm,Chvatal,9999-01-01
13238,Ebru,Foote,9999-01-01
13240,King,Pileggi,9999-01-01
13243,Fay,Huxford,9999-01-01
13291,Georg,Stamatiou,9999-01-01
13299,Guiseppe,Butner,9999-01-01
13315,Sakthirel,Stroustrup,9999-01-01
13332,Nidapan,Pearson,9999-01-01
13341,Bodh,Doering,9999-01-01
13368,Kiyokazu,Klassen,9999-01-01
13371,Nakhoon,Riexinger,9999-01-01
13373,Juichirou,Naumovich,9999-01-01
13386,Khosrow,Sgarro,9999-01-01
13389,Divine,Cmelik,9999-01-01
13392,Fumitake,Beidas,9999-01-01
13396,Chuanyi,Aumann,9999-01-01
13405,Randy,Baba,9999-01-01
13407,Gio,Chenoweth,9999-01-01
13415,Nathalie,Speer,9999-01-01
13422,Vishwani,Gerlach,9999-01-01
13442,Giordano,Miake,9999-01-01
13443,Mayuko,Puppo,9999-01-01
13445,Renee,Dehkordi,9999-01-01
13451,Gretta,Weiland,9999-01-01
13457,Shooichi,Parfitt,9999-01-01
13463,Theron,Berstel,9999-01-01
13465,Sasan,Rehfuss,9999-01-01
13493,Uinam,Jullig,9999-01-01
13504,Parto,Mandell,9999-01-01
13521,Jaewoo,Tasistro,9999-01-01
13524,Chaoyi,Porotnikoff,9999-01-01
13535,Arunas,Schlenzig,9999-01-01
13546,Aimee,Brookner,9999-01-01
13549,Matk,Koprowski,9999-01-01
13576,Jungsoon,Engberts,9999-01-01
13578,Tadahiko,Christianini,9999-01-01
13624,Zhigen,Yurek,9999-01-01
13629,Dzung,Trelles,9999-01-01
13648,Zejun,Lamba,9999-01-01
13651,Stamatina,Plesums,9999-01-01
13653,Kristen,Iivonen,9999-01-01
13670,Moti,Takanami,9999-01-01
13680,Denny,Speer,9999-01-01
13685,Weicheng,Hockney,9999-01-01
13697,Shuichi,Weedon,9999-01-01
13698,Domenico,Mitchem,9999-01-01
13704,Vishu,Kumaresan,9999-01-01
13721,Sugwoo,Delgrossi,9999-01-01
13727,Vitali,Merey,9999-01-01
13738,Bangqing,Mitchem,9999-01-01
13747,Masaru,Capobianchi,9999-01-01
13768,Sedat,Lovengreen,9999-01-01
13769,Yakichi,Trogemann,9999-01-01
13775,Arve,Maierhofer,9999-01-01
13786,Takushi,Berendt,9999-01-01
13787,Xiaobin,Sinicrope,9999-01-01
13788,Takahira,Furedi,9999-01-01
13795,Mayuri,Gewali,9999-01-01
13809,Kiyotoshi,Basagni,9999-01-01
13815,Guadalupe,Plotkin,9999-01-01
13825,Arlette,Pell,9999-01-01
13841,Christophe,Spinelli,9999-01-01
13846,Guiseppe,Welham,9999-01-01
13853,Mingsen,Roohalamini,9999-01-01
13859,Anoosh,Fujisawa,9999-01-01
13883,Kwangyoen,Barreiro,9999-01-01
13884,Kensei,Swift,9999-01-01
13894,Ult,Schonegge,9999-01-01
13904,Youngkon,Cairo,9999-01-01
13916,Vidya,Wynblatt,9999-01-01
13934,Shiv,Bratsberg,9999-01-01
13942,Elzbieta,Esteva,9999-01-01
13960,Nechama,Hettesheimer,9999-01-01
13962,Maris,Ghelli,9999-01-01
13966,Boguslaw,Cooman,9999-01-01
13990,Deborah,Schapiro,9999-01-01
13992,Ulises,Kenevan,9999-01-01
13999,Florian,Crouzet,9999-01-01
14015,Manibrata,Picaronny,9999-01-01
14034,Aloys,Seghrouchni,9999-01-01
14041,Shan,DeMori,9999-01-01
14045,Ymte,Alpin,9999-01-01
14088,Mori,Leslie,9999-01-01
14102,Feixiong,Jording,9999-01-01
14107,Xiahua,Rindone,9999-01-01
14111,Leszek,Cummings,9999-01-01
14113,Along,Herber,9999-01-01
14118,Kasturi,Anido,9999-01-01
14139,Sachin,Conry,9999-01-01
14167,Adas,Hertweck,9999-01-01
14197,Adin,Chachaty,9999-01-01
14220,Tomofumi,Pargas,9999-01-01
14224,Guther,Conta,9999-01-01
14232,Masali,Bojadziev,9999-01-01
14236,Xuedong,Angiulli,9999-01-01
14254,Chikara,Narahara,9999-01-01
14257,Kwok,Massonet,9999-01-01
14275,Tristan,Aseltine,9999-01-01
14289,Paraskevi,Gist,9999-01-01
14293,Qunsheng,Middleton,9999-01-01
14298,Chriss,Granlund,9999-01-01
14310,Marlo,Leuchs,9999-01-01
14320,Sreenivas,Schaar,9999-01-01
14322,Shem,Kakkad,9999-01-01
14323,Golgen,Leslie,9999-01-01
14340,Vitaly,Wixon,9999-01-01
14344,Otilia,Buescher,9999-01-01
14345,Barry,Ramsey,9999-01-01
14354,Mong,Bojadziev,9999-01-01
14360,Janche,Erbe,9999-01-01
14372,Saniya,Srimani,9999-01-01
14384,Tomofumi,Holburn,9999-01-01
14422,Toshimo,Gadepally,9999-01-01
14434,Elvis,Maginnis,9999-01-01
14439,Raimond,Woycyznski,9999-01-01
14441,Divine,Manders,9999-01-01
14481,Moti,Lammel,9999-01-01
14483,Supot,Marrevee,9999-01-01
14486,Indrajit,Birdsall,9999-01-01
14501,Taizo,Kroft,9999-01-01
14509,Danil,Aloia,9999-01-01
14514,Fay,Denny,9999-01-01
14515,Kazuhisa,Versino,9999-01-01
14516,Kristian,Underwood,9999-01-01
14518,Patricia,Peir,9999-01-01
14522,Chuanyi,Ranta,9999-01-01
14533,Kensei,Borovoy,9999-01-01
14537,Babette,Engelmann,9999-01-01
14552,Ibibia,Snyers,9999-01-01
14560,Elrique,Driscoll,9999-01-01
14581,Gao,Condotta,9999-01-01
14582,Kiyokazu,Morrin,9999-01-01
14600,Jayson,Cairo,9999-01-01
14603,Lech,Marquardt,9999-01-01
14620,Jianhua,Erev,9999-01-01
14632,Gudjon,McClurg,9999-01-01
14639,Arvind,Hempstead,9999-01-01
14642,Florian,Kuhnemann,9999-01-01
14645,Laurentiu,Glinert,9999-01-01
14655,Jingling,Segond,9999-01-01
14675,Teunis,Angel,9999-01-01
14677,Herbert,Sifakis,9999-01-01
14683,Alois,Basart,9999-01-01
14690,Yechezkel,Bellone,9999-01-01
14710,Mahmut,Hainaut,9999-01-01
14713,Terresa,Ballarin,9999-01-01
14724,Aron,Lemarechal,9999-01-01
14774,Gio,Sigstam,9999-01-01
14780,Marlo,Bruckman,9999-01-01
14785,Zhonghua,Kaiser,9999-01-01
14793,Stein,Uchoa,9999-01-01
14814,Odysseas,Nishimukai,9999-01-01
14817,Gaurav,Masaki,9999-01-01
14821,Oguz,Kilgore,9999-01-01
14853,Taiji,Nergos,9999-01-01
14854,Angus,Perko,9999-01-01
14877,Arto,Meriste,9999-01-01
14888,Temple,Barriga,9999-01-01
14905,Karsten,Baja,9999-01-01
14908,Kerhong,Flanders,9999-01-01
14909,Mohan,Kamble,9999-01-01
14914,Gretta,Benzaken,9999-01-01
14915,Huican,Picco,9999-01-01
14928,Satoru,Mukaidono,9999-01-01
14941,Nathan,Lichtner,9999-01-01
14942,Heon,Benveniste,9999-01-01
14949,Insup,Reinhart,9999-01-01
14955,Boguslaw,Kalefeld,9999-01-01
14959,Kerryn,Hiyoshi,9999-01-01
14966,Zhanqiu,Underwood,9999-01-01
14971,Fan,Simmen,9999-01-01
14983,Hyuckchul,Pouyioutas,9999-01-01
15005,Kiam,Sadowsky,9999-01-01
15016,Woody,Gulik,9999-01-01
15019,Qingxiang,Shokrollahi,9999-01-01
15024,Yurii,Rullman,9999-01-01
15029,Giordano,Koshino,9999-01-01
15030,Rasikan,Nourani,9999-01-01
15036,Ziva,Delgrande,9999-01-01
15049,Khun,Waymire,9999-01-01
15069,Manton,Siksek,9999-01-01
15075,Radoslaw,Rijsenbrij,9999-01-01
15077,Toshiki,Taubenfeld,9999-01-01
15082,Guadalupe,Zirintsis,9999-01-01
15089,Giri,Coney,9999-01-01
15102,Luigi,Axelband,9999-01-01
15105,Sudhanshu,Itzigehl,9999-01-01
15113,Zhiguo,Giaccio,9999-01-01
15133,Kagan,Malinowski,9999-01-01
15134,Arun,Luiz,9999-01-01
15145,Haldon,Servieres,9999-01-01
15151,Urs,Pouyioutas,9999-01-01
15176,Charlene,Sankaranarayanan,9999-01-01
15196,Souichi,Duclos,9999-01-01
15199,Heeju,Bernardinello,9999-01-01
15202,Pranay,Irland,9999-01-01
15208,Sudharsan,Shokrollahi,9999-01-01
15218,Shuky,Conry,9999-01-01
15230,Keiichiro,Suessmith,9999-01-01
15234,Jouko,Zhiwei,9999-01-01
15243,Mountaz,Famili,9999-01-01
15248,Edwin,Baar,9999-01-01
15253,Ayonca,Pardalos,9999-01-01
15269,Eric,Reghbati,9999-01-01
15271,Shiv,Bernardeschi,9999-01-01
15278,Adam,Rohrbach,9999-01-01
15295,Lobel,Peak,9999-01-01
15312,Deniz,Linnainmaa,9999-01-01
15324,Ziya,Lunn,9999-01-01
15329,Fan,Openshaw,9999-01-01
15330,Jaroslava,Chinal,9999-01-01
15334,Luerbio,Kuzuoka,9999-01-01
15365,Mikhail,Schiettecatte,9999-01-01
15369,Premal,Penttonen,9999-01-01
15370,Chuanyi,Nilsson,9999-01-01
15372,Nahum,Broder,9999-01-01
15377,Shugo,Aumann,9999-01-01
15382,Alassane,Siegrist,9999-01-01
15386,Genki,Sambasivam,9999-01-01
15392,Pradeep,Markovitch,9999-01-01
15408,Maik,Penttonen,9999-01-01
15410,Wilmer,Kushner,9999-01-01
15438,Constantijn,Munoz,9999-01-01
15441,Arvind,Weisert,9999-01-01
15452,Kazuhira,Weedman,9999-01-01
15470,Weiwu,Huhdanpaa,9999-01-01
15480,Kwok,Trogemann,9999-01-01
15505,Collette,Mikschl,9999-01-01
15510,Inderjeet,Sethi,9999-01-01
15511,George,Kowalchuk,9999-01-01
15525,Masadi,Cherinka,9999-01-01
15539,Shigeichiro,Spieker,9999-01-01
15543,Mingdong,Staelin,9999-01-01
15545,Masadi,Suri,9999-01-01
15548,Sanjai,Caine,9999-01-01
15563,Constantino,Zykh,9999-01-01
15566,Baoqiu,Azuma,9999-01-01
15600,Mack,Perna,9999-01-01
15623,Vishu,Falby,9999-01-01
15641,Jaana,Roisin,9999-01-01
15656,Mohammad,Schaaf,9999-01-01
15666,Pintsang,Rothenberg,9999-01-01
15682,Hiroyasu,Przulj,9999-01-01
15703,Chenye,Hanratty,9999-01-01
15708,Reuven,Kushnir,9999-01-01
15714,Troy,Bala,9999-01-01
15715,Insup,Ibel,9999-01-01
15726,Zhilian,Parascandalo,9999-01-01
15728,Jaewon,Nooteboom,9999-01-01
15740,Stepehn,Pocchiola,9999-01-01
15750,Arumugam,Bresenham,9999-01-01
15753,Sanjay,Breugel,9999-01-01
15765,Tonny,Taubenfeld,9999-01-01
15767,Baocai,Broomell,9999-01-01
15788,Taegyun,Deyuan,9999-01-01
15819,Magdalena,Rajcani,9999-01-01
15821,Aleksander,Antonakopoulos,9999-01-01
15846,Bowen,Litecky,9999-01-01
15861,Gio,Anido,9999-01-01
15866,Angel,Seiwald,9999-01-01
15876,Munehiro,Vakili,9999-01-01
15880,Miquel,Dechter,9999-01-01
15901,Marsja,Fargier,9999-01-01
15902,Kazuhide,Stille,9999-01-01
15905,DeForest,Petersohn,9999-01-01
15912,Piyawadee,Cichocki,9999-01-01
15934,Kensyu,Shinomoto,9999-01-01
15938,Garnik,Covnot,9999-01-01
15942,Murthy,Rosca,9999-01-01
15945,Hauke,Larfeldt,9999-01-01
15946,Sham,Onuegbe,9999-01-01
15948,Karoline,Versino,9999-01-01
15971,Arumugam,Aloia,9999-01-01
15993,Yoshimitsu,Peir,9999-01-01
16025,Doowon,Luce,9999-01-01
16028,JiYoung,Takkinen,9999-01-01
16033,Wayne,Spelt,9999-01-01
16052,Maria,Rodham,9999-01-01
16068,Leandro,Zongker,9999-01-01
16076,Marko,Ebeling,9999-01-01
16077,Kannan,Heemskerk,9999-01-01
16086,Mohammad,Denos,9999-01-01
16099,Mohan,Ferretti,9999-01-01
16105,Alper,Tetzlaff,9999-01-01
16130,Kerryn,Belinskaya,9999-01-01
16134,Annemarie,Chaudhuri,9999-01-01
16146,Cathie,Meriste,9999-01-01
16154,Monique,Docker,9999-01-01
16164,Janche,Kinley,9999-01-01
16185,Marin,Winter,9999-01-01
16192,Leandro,Sigstam,9999-01-01
16201,Krassimir,Olano,9999-01-01
16203,Mori,Kulisch,9999-01-01
16227,Hitomi,Vural,9999-01-01
16229,Ronnie,Lanzelotte,9999-01-01
16230,Ung,Babu,9999-01-01
16233,Sushant,Baba,9999-01-01
16234,Jacopo,Basart,9999-01-01
16237,Slavian,Leaver,9999-01-01
16252,Carrsten,Mattern,9999-01-01
16255,Tomokazu,Ohori,9999-01-01
16266,Mikhail,Sethi,9999-01-01
16272,Shuho,Zeleznik,9999-01-01
16274,Sadun,Navazio,9999-01-01
16302,Bedir,Speek,9999-01-01
16324,Billie,Bazzichi,9999-01-01
16331,Giap,Garnham,9999-01-01
16337,Hironoby,Schaad,9999-01-01
16341,Boutros,Fendler,9999-01-01
16360,Sham,Jonsson,9999-01-01
16364,Yifei,Gini,9999-01-01
16365,Janalee,Mellouli,9999-01-01
16373,Narain,Aseltine,9999-01-01
16377,Duri,Stanger,9999-01-01
16380,Zhilian,Chleq,9999-01-01
16382,Chaoyi,Talmon,9999-01-01
16388,Subhankar,Georgatos,9999-01-01
16396,Guangming,Yoshimura,9999-01-01
16397,Shimshon,Cusworth,9999-01-01
16399,Apostol,Collette,9999-01-01
16412,Moss,Tokunaga,9999-01-01
16425,Idoia,Beerel,9999-01-01
16438,Abdulla,Demeyer,9999-01-01
16446,Jouko,Chinin,9999-01-01
16448,Tsvetan,Zwicker,9999-01-01
16453,Goncalo,Basart,9999-01-01
16471,Bogdan,Birta,9999-01-01
16478,Bedir,Wroclawski,9999-01-01
16479,Jixiang,Eiter,9999-01-01
16486,Sanjay,Perin,9999-01-01
16487,Arunas,Yemenis,9999-01-01
16490,Muzhong,Thiria,9999-01-01
16500,Elvis,Servieres,9999-01-01
16510,Mototsugu,Vecchio,9999-01-01
16537,Weidon,Seiwald,9999-01-01
16539,Gretta,Fetvedt,9999-01-01
16546,Sangeeta,Lanphier,9999-01-01
16549,Olivera,Thibadeau,9999-01-01
16556,Mostafa,Hiltgen,9999-01-01
16557,Fan,Majewski,9999-01-01
16567,Hein,Senzako,9999-01-01
16580,Masaru,Valiente,9999-01-01
16608,Boguslaw,Greibach,9999-01-01
16657,Yongdong,Heyers,9999-01-01
16658,Florian,Soicher,9999-01-01
16674,Duke,Takanami,9999-01-01
