emp_no,first_name,last_name,birth_date,from_date,to_date,title
20129,Rafael,Skafidas,1965-01-10,1989-10-15,9999-01-01,Senior Staff
20248,Vidar,Demri,1965-01-12,1992-09-28,9999-01-01,Engineer
20313,Candida,Benveniste,1965-01-24,1986-03-27,9999-01-01,Engineer
20500,Christoph,Trystram,1965-01-30,1991-06-07,9999-01-01,Senior Engineer
20712,Valeri,Escriba,1965-01-26,1990-04-28,9999-01-01,Staff
20720,Heejo,Brodie,1965-01-17,1996-04-25,9999-01-01,Staff
21181,Jianhui,Cangellaris,1965-01-21,1994-03-02,9999-01-01,Engineer
21188,Piyush,Danecki,1965-01-21,1987-05-15,9999-01-01,Engineer
21534,Alagu,Luders,1965-01-12,1989-12-03,9999-01-01,Senior Engineer
21546,Yongmin,Lanteri,1965-01-01,1997-10-10,9999-01-01,Engineer
21843,Karsten,Azadmanesh,1965-01-09,1999-07-30,9999-01-01,Engineer
22027,Sangeeta,Georg,1965-01-27,1996-02-21,9999-01-01,Senior Engineer
22185,Huai,Birch,1965-01-29,1990-04-11,9999-01-01,Senior Staff
22415,Perla,Jumpertz,1965-01-20,1989-10-31,9999-01-01,Senior Engineer
22451,Jasminko,Bresenham,1965-01-27,1995-03-08,9999-01-01,Staff
22455,Barry,Unno,1965-01-06,1989-12-31,9999-01-01,Engineer
22926,Manibrata,Genther,1965-01-01,1992-07-28,9999-01-01,Staff
23396,Hilari,Fairtlough,1965-01-02,1992-01-25,9999-01-01,Engineer
24080,Jaana,Perez,1965-01-26,1999-10-27,9999-01-01,Staff
24189,Abdelaziz,Atrawala,1965-01-16,1989-02-19,9999-01-01,Staff
24205,Roddy,Rubsam,1965-01-25,1994-03-23,9999-01-01,Staff
24394,Zhonghui,Conta,1965-01-04,1997-01-19,9999-01-01,Staff
24553,Anwar,Passafiume,1965-01-12,1986-06-18,9999-01-01,Engineer
24571,Cordelia,Gischer,1965-01-20,1990-04-28,9999-01-01,Staff
25488,Ingmar,Basawa,1965-01-19,1997-08-01,9999-01-01,Senior Staff
26476,Bilhanan,Karcich,1965-01-19,1990-05-25,9999-01-01,Engineer
26503,Shietung,Billingsley,1965-01-27,1999-07-16,9999-01-01,Senior Staff
26617,Berto,Bruckman,1965-01-06,1988-12-07,9999-01-01,Engineer
26671,Jiakeng,Kalorkoti,1965-01-21,1996-10-31,9999-01-01,Engineer
26788,Zongyan,Dalphin,1965-01-25,1987-03-27,9999-01-01,Assistant Engineer
27150,Chenyi,Plump,1965-01-06,1994-08-03,9999-01-01,Staff
27331,Wanqing,Krohm,1965-01-19,1986-05-14,9999-01-01,Staff
27378,Piyawadee,Leppanen,1965-01-28,1999-07-04,9999-01-01,Staff
27620,Shuji,Kandlur,1965-01-25,1987-06-06,9999-01-01,Staff
27686,Manu,Rosiles,1965-01-28,1988-05-09,9999-01-01,Senior Engineer
27699,Falguni,Pezzoli,1965-01-15,1994-10-01,9999-01-01,Senior Engineer
27767,Tooru,Veldwijk,1965-01-27,1996-02-19,9999-01-01,Engineer
27970,KayLiang,Miyakawa,1965-01-12,1991-12-23,9999-01-01,Senior Staff
28193,Xinglin,Mitsuhashi,1965-01-29,1985-07-03,9999-01-01,Senior Staff
28222,Mayuko,Vitiello,1965-01-11,1985-09-22,9999-01-01,Staff
28988,Tua,Giveon,1965-01-18,1999-08-21,9999-01-01,Engineer
29130,Xumin,Thorensen,1965-01-06,1996-10-14,9999-01-01,Senior Staff
29265,Gilbert,Calkin,1965-01-14,1985-04-10,9999-01-01,Assistant Engineer
29380,Satoru,Vidal,1965-01-30,1988-10-27,9999-01-01,Senior Staff
29679,Kolar,Steenbeek,1965-01-17,1986-02-19,9999-01-01,Engineer
29954,Pranay,Giarratana,1965-01-27,1990-09-03,9999-01-01,Staff
30007,Kousuke,Vecchio,1965-01-24,1998-04-17,9999-01-01,Staff
30035,Tetsushi,Conta,1965-01-08,1994-09-24,9999-01-01,Senior Engineer
30154,Mayuko,Skafidas,1965-01-26,1985-05-10,9999-01-01,Staff
30182,Leon,Potthoff,1965-01-26,1988-05-15,9999-01-01,Engineer
30465,Randi,Avouris,1965-01-28,1991-09-30,9999-01-01,Staff
30484,Sailaja,Chvatal,1965-01-11,1990-08-12,9999-01-01,Senior Staff
30695,Gudjon,Majewski,1965-01-08,1986-05-28,9999-01-01,Technique Leader
30938,Yakkov,Samarati,1965-01-06,1998-12-15,9999-01-01,Engineer
31147,Divine,Sidhu,1965-01-04,1999-02-23,9999-01-01,Technique Leader
31170,Tuval,Waleschkowski,1965-01-08,1991-09-29,9999-01-01,Senior Engineer
31188,Leandro,Gist,1965-01-12,1996-05-15,9999-01-01,Engineer
31207,Abdelwaheb,Dulin,1965-01-30,1986-01-09,9999-01-01,Senior Staff
31341,Oksana,Zultner,1965-01-01,1993-07-06,9999-01-01,Staff
31514,Harngdar,Schapire,1965-01-13,1998-04-15,9999-01-01,Senior Staff
31599,Qingxiang,Gewali,1965-01-05,1989-10-23,9999-01-01,Senior Staff
31629,Toong,Veldwijk,1965-01-24,1998-11-22,9999-01-01,Staff
31909,Murthy,Peek,1965-01-10,1990-08-22,9999-01-01,Senior Engineer
32347,Terresa,Peres,1965-01-08,1991-09-02,9999-01-01,Staff
32552,Atreye,Stanger,1965-01-17,1993-06-02,9999-01-01,Senior Staff
32649,Ingmar,Nannarelli,1965-01-12,1986-01-28,9999-01-01,Engineer
32714,Radoslaw,Maliniak,1965-01-16,1994-10-30,9999-01-01,Senior Staff
32844,Tadahiko,Melton,1965-01-23,1991-01-10,9999-01-01,Senior Staff
33025,Jessie,Thorelli,1965-01-12,1992-03-07,9999-01-01,Senior Staff
33215,Steen,Fasbender,1965-01-29,1990-04-22,9999-01-01,Staff
33606,Clyde,Swift,1965-01-02,1987-09-11,9999-01-01,Senior Engineer
33722,Anwar,Collette,1965-01-15,1998-05-01,9999-01-01,Engineer
34077,Angel,Sichman,1965-01-08,1994-05-13,9999-01-01,Engineer
34261,Kyoichi,Callaway,1965-01-05,1997-08-21,9999-01-01,Assistant Engineer
34446,Chinhyun,Bauknecht,1965-01-31,1997-01-12,9999-01-01,Staff
34452,Naftaly,Foong,1965-01-08,1985-08-29,9999-01-01,Engineer
34505,Felicidad,Kumaresan,1965-01-28,1994-11-16,9999-01-01,Senior Engineer
34780,Moni,Kohling,1965-01-16,1990-03-30,9999-01-01,Engineer
34788,Ennio,Babu,1965-01-27,1991-08-23,9999-01-01,Staff
35044,Jiang,Waschkowski,1965-01-04,1995-12-01,9999-01-01,Staff
35441,Chandrasekaran,Peek,1965-01-31,1994-07-13,9999-01-01,Engineer
35642,Ashish,Talmon,1965-01-30,1985-04-07,9999-01-01,Senior Staff
35793,Oscar,Kusalik,1965-01-01,1997-08-03,9999-01-01,Senior Engineer
36521,Serif,Gladwell,1965-01-21,1995-02-23,9999-01-01,Senior Staff
36626,Fen,Genin,1965-01-02,1992-02-16,9999-01-01,Technique Leader
36733,Uma,Reinhard,1965-01-04,1992-12-21,9999-01-01,Engineer
36982,Kotesh,Rajala,1965-01-22,1999-07-12,9999-01-01,Engineer
37070,Jeong,Undy,1965-01-22,1996-08-26,9999-01-01,Senior Staff
37719,Nakhoon,Buescher,1965-01-31,1993-03-03,9999-01-01,Staff
37945,Suzette,Butterworth,1965-01-02,1994-12-24,9999-01-01,Engineer
38043,Michaela,Randi,1965-01-05,1989-02-28,9999-01-01,Staff
38168,Fumiko,Deverell,1965-01-14,1998-06-17,9999-01-01,Senior Staff
38550,JoAnne,Baez,1965-01-14,1992-09-09,9999-01-01,Staff
38593,Huei,Orsini,1965-01-14,1992-11-29,9999-01-01,Senior Engineer
38947,Shuichi,Ruemmler,1965-01-25,1992-04-06,9999-01-01,Senior Staff
39036,Changho,Cappelli,1965-01-08,1998-05-06,9999-01-01,Senior Staff
39268,Constantijn,Awdeh,1965-01-10,1993-07-21,9999-01-01,Engineer
39301,Rimon,Kawashima,1965-01-07,1999-06-06,9999-01-01,Engineer
39341,Mahmut,Lampe,1965-01-01,1986-03-01,9999-01-01,Senior Engineer
39952,Otmar,Sudbeck,1965-01-02,1989-03-06,9999-01-01,Senior Staff
40269,Toshiki,Ghazalie,1965-01-10,1990-05-25,9999-01-01,Senior Engineer
40283,Sudhanshu,Boissier,1965-01-07,1994-07-09,9999-01-01,Senior Engineer
40301,Spyrose,Felder,1965-01-20,1994-07-19,9999-01-01,Engineer
40536,Harngdar,Bernardinello,1965-01-20,1986-03-29,9999-01-01,Engineer
40648,Wayne,Erev,1965-01-23,1986-03-31,9999-01-01,Engineer
40765,Michaela,Ramsak,1965-01-01,1998-03-16,9999-01-01,Senior Staff
40773,Shimshon,Aingworth,1965-01-09,1998-03-27,9999-01-01,Senior Staff
40785,Youpyo,Castellani,1965-01-31,1990-07-04,9999-01-01,Engineer
40983,Marla,Cherinka,1965-01-17,1993-12-26,9999-01-01,Senior Staff
41518,Keung,Schapiro,1965-01-11,1985-07-17,9999-01-01,Staff
41520,Xiong,Uhrik,1965-01-20,1990-06-25,9999-01-01,Senior Staff
41552,Uno,Heyers,1965-01-03,1993-08-04,9999-01-01,Senior Staff
41609,Yucai,Simmen,1965-01-04,1986-06-04,9999-01-01,Staff
42911,Brigham,Eterovic,1965-01-29,1988-06-11,9999-01-01,Staff
42950,Shaleah,Eickenmeyer,1965-01-22,1993-05-27,9999-01-01,Technique Leader
42955,Yucel,Lortz,1965-01-12,1992-05-04,9999-01-01,Staff
43154,Maha,Waterhouse,1965-01-13,1987-12-09,9999-01-01,Senior Engineer
43848,Phillip,Oxenboll,1965-01-11,1992-01-01,9999-01-01,Staff
44265,Maria,Eppinger,1965-01-24,1998-12-14,9999-01-01,Senior Staff
44540,Mingzeng,Sadowski,1965-01-16,1997-11-03,9999-01-01,Staff
44900,Mark,Schwaller,1965-01-05,1990-11-19,9999-01-01,Senior Staff
44959,Volkmar,Uhrik,1965-01-21,1991-01-28,9999-01-01,Senior Engineer
44962,Sariel,Wynblatt,1965-01-16,1998-09-13,9999-01-01,Engineer
45162,Dulce,Speel,1965-01-11,1999-10-11,9999-01-01,Senior Engineer
45590,Masoud,Genin,1965-01-21,1993-08-03,9999-01-01,Senior Engineer
46000,Zhaofang,Penn,1965-01-26,1988-01-13,9999-01-01,Senior Staff
46015,Weiye,Masand,1965-01-19,1989-11-21,9999-01-01,Engineer
46222,Mrinalini,Strooper,1965-01-20,2001-09-11,9999-01-01,Senior Engineer
46531,Yaghout,Peng,1965-01-30,1988-07-01,9999-01-01,Engineer
46811,Junsik,Berendt,1965-01-10,1992-11-27,9999-01-01,Technique Leader
47702,Juyoung,Vieri,1965-01-21,1992-01-30,9999-01-01,Staff
47708,Edwin,Haldar,1965-01-05,1996-06-06,9999-01-01,Senior Engineer
48882,Leen,Lamparter,1965-01-28,1992-07-26,9999-01-01,Senior Engineer
48904,Yuichiro,Malabarba,1965-01-23,1994-02-09,9999-01-01,Senior Engineer
49119,Lena,Peek,1965-01-09,1993-03-07,9999-01-01,Staff
49177,Tze,Bach,1965-01-03,1997-05-19,9999-01-01,Senior Staff
49464,Siddarth,Cappelletti,1965-01-14,1990-06-08,9999-01-01,Senior Engineer
49477,Baocai,Leaver,1965-01-14,1987-09-19,9999-01-01,Staff
50293,Xinan,Rindone,1965-01-26,1989-05-18,9999-01-01,Staff
50311,Mooi,Stafford,1965-01-24,1993-12-14,9999-01-01,Engineer
50360,Sumali,Kushner,1965-01-18,1995-11-08,9999-01-01,Staff
50453,Aron,Harbusch,1965-01-12,1997-09-23,9999-01-01,Engineer
50587,Slavian,Yemenis,1965-01-26,1989-08-02,9999-01-01,Engineer
50670,Boguslaw,Snedden,1965-01-30,1986-02-20,9999-01-01,Staff
51036,Chriss,Fasbender,1965-01-29,1989-10-15,9999-01-01,Engineer
51057,Theirry,Albarhamtoshy,1965-01-29,1996-10-29,9999-01-01,Engineer
51118,Fumiko,Mundy,1965-01-17,1997-10-27,9999-01-01,Engineer
51142,Rosine,Lakshmanan,1965-01-29,1997-05-07,9999-01-01,Staff
51502,Slavian,Munawer,1965-01-29,1994-01-05,9999-01-01,Senior Engineer
52038,Chikako,Armand,1965-01-13,1985-05-29,9999-01-01,Staff
52283,Trygve,Krupka,1965-01-20,1998-08-20,9999-01-01,Senior Engineer
52386,Adas,Denti,1965-01-28,1992-06-07,9999-01-01,Senior Staff
52590,Jouni,Munoz,1965-01-21,1994-08-09,9999-01-01,Technique Leader
52599,Augustine,Mungall,1965-01-25,1991-07-24,9999-01-01,Senior Engineer
52639,Arup,Colorni,1965-01-09,1989-02-10,9999-01-01,Engineer
52770,Shugo,Yurek,1965-01-31,1999-09-27,9999-01-01,Staff
52778,Alain,Penn,1965-01-15,1990-10-06,9999-01-01,Senior Staff
52970,Lobel,Werthner,1965-01-22,1999-02-23,9999-01-01,Technique Leader
53088,Mechthild,Lamma,1965-01-25,1998-03-25,9999-01-01,Engineer
53278,Premsyl,Lortz,1965-01-31,1998-06-16,9999-01-01,Senior Staff
53314,Eberhardt,Carrera,1965-01-06,1990-09-02,9999-01-01,Senior Engineer
53431,Sham,Vasanthakumar,1965-01-12,1995-07-12,9999-01-01,Engineer
53499,Zdislav,Mandelberg,1965-01-20,1985-06-14,9999-01-01,Senior Engineer
53597,Jiafu,Marchegay,1965-01-30,1986-12-22,9999-01-01,Staff
53746,Manu,Erva,1965-01-21,1995-07-16,9999-01-01,Senior Engineer
53924,Arnould,Gaughan,1965-01-27,1989-09-04,9999-01-01,Engineer
54632,Etsuo,Serot,1965-01-19,1985-03-06,9999-01-01,Senior Engineer
54795,Sumant,Nergos,1965-01-29,1985-10-23,9999-01-01,Staff
54800,Breannda,Cangellaris,1965-01-13,1997-12-30,9999-01-01,Senior Staff
55121,Toshiko,Alblas,1965-01-12,1987-07-19,9999-01-01,Technique Leader
55640,Adit,Syrotiuk,1965-01-25,1996-09-03,9999-01-01,Engineer
55670,Ulf,Ranft,1965-01-30,1991-10-02,9999-01-01,Staff
55687,Shih,Lindqvist,1965-01-02,1988-10-08,9999-01-01,Engineer
55799,Jianwen,Litzler,1965-01-23,1985-11-03,9999-01-01,Senior Staff
56105,Makato,Remmers,1965-01-11,1990-10-03,9999-01-01,Staff
56209,Remzi,Douceur,1965-01-19,1994-08-20,9999-01-01,Staff
56428,Olivera,Hanabata,1965-01-27,1989-12-13,9999-01-01,Staff
56682,Roded,Picco,1965-01-28,1999-09-30,9999-01-01,Senior Engineer
56847,Menkae,Chinin,1965-01-14,1996-10-28,9999-01-01,Engineer
57982,Paloma,Benzaken,1965-01-29,1989-11-26,9999-01-01,Senior Engineer
58141,Bezalel,Karner,1965-01-05,1986-10-23,9999-01-01,Engineer
58217,Kiyotoshi,Kusalik,1965-01-30,1989-07-03,9999-01-01,Senior Staff
58384,Mariusz,Vural,1965-01-22,1999-07-17,9999-01-01,Senior Engineer
58497,Yechiam,Cairo,1965-01-22,1989-02-05,9999-01-01,Engineer
58819,Gennady,Liesche,1965-01-04,1985-11-23,9999-01-01,Senior Engineer
58990,Palash,Trelles,1965-01-04,1999-01-20,9999-01-01,Senior Staff
59195,Ronnie,Pollock,1965-01-08,1990-07-16,9999-01-01,Senior Staff
59329,Zissis,Bazzichi,1965-01-15,1989-06-20,9999-01-01,Engineer
59640,Zita,Hiltgen,1965-01-18,1998-03-17,9999-01-01,Engineer
59869,Zsolt,Riefers,1965-02-01,1992-01-26,9999-01-01,Engineer
59966,Steen,Salvesen,1965-01-28,1998-10-11,9999-01-01,Staff
60091,Surveyors,Bade,1965-02-01,1997-08-16,9999-01-01,Staff
60238,Erzsebet,Claffy,1965-01-23,1996-05-15,9999-01-01,Senior Engineer
60559,Jeanna,Stemann,1965-01-19,1996-01-03,9999-01-01,Staff
60845,Bedir,Siegrist,1965-01-14,1991-05-29,9999-01-01,Senior Engineer
60875,Rildo,Masaki,1965-01-21,1994-10-13,9999-01-01,Engineer
61147,Leszek,Werthner,1965-01-30,1992-07-16,9999-01-01,Staff
61253,Cheong,Uhrik,1965-01-09,1998-03-18,9999-01-01,Engineer
61541,Kasidit,Papsdorf,1965-01-08,1988-03-15,9999-01-01,Engineer
61680,Hauke,Templeman,1965-01-24,1996-11-29,9999-01-01,Senior Engineer
61983,Sastry,Reeken,1965-01-18,1995-08-09,9999-01-01,Staff
62033,Heeju,Cappelli,1965-01-24,1989-08-02,9999-01-01,Senior Staff
62046,Karlis,Nanard,1965-01-31,1998-04-28,9999-01-01,Senior Engineer
62167,Mihalis,Haldar,1965-01-25,1992-08-09,9999-01-01,Engineer
62245,Adel,Bressoud,1965-01-01,1986-01-03,9999-01-01,Staff
62384,Akeel,Litzler,1965-01-02,1997-05-11,9999-01-01,Senior Engineer
63294,Tetsushi,Tanemo,1965-01-23,1993-05-14,9999-01-01,Assistant Engineer
63419,Hiroyasu,Seuren,1965-01-14,1999-12-27,9999-01-01,Staff
63441,Hinrich,Scallan,1965-01-15,1987-07-06,9999-01-01,Engineer
63444,Padma,Peres,1965-01-19,1998-01-18,9999-01-01,Staff
63631,Falguni,Cherinka,1965-01-22,1985-10-31,9999-01-01,Staff
63706,Sedat,Itzigehl,1965-01-26,1996-02-05,9999-01-01,Engineer
64023,Laurentiu,Benzmuller,1965-01-11,1992-11-11,9999-01-01,Engineer
64209,Golgen,Schoegge,1965-01-24,1993-10-20,9999-01-01,Engineer
64431,Faiza,Zongker,1965-01-25,1988-09-10,9999-01-01,Staff
64487,Tsutomu,Rebaine,1965-01-27,1998-10-02,9999-01-01,Engineer
64632,Zsolt,Brender,1965-01-07,1990-11-24,9999-01-01,Senior Staff
64828,Krister,Pappas,1965-01-27,1987-05-04,9999-01-01,Senior Staff
64984,Eldridge,Eldridge,1965-01-06,1986-12-04,9999-01-01,Engineer
65013,Chandrasekaran,Peral,1965-01-03,1999-09-02,9999-01-01,Senior Staff
65171,Jeane,Tasistro,1965-01-25,1999-12-30,9999-01-01,Engineer
65539,Aksel,Picaronny,1965-01-23,1999-01-28,9999-01-01,Senior Staff
65883,Patricia,Pepe,1965-01-07,1986-03-14,9999-01-01,Engineer
65998,Mandell,Alameldin,1965-01-09,1991-06-10,9999-01-01,Engineer
66382,Domenico,Candan,1965-01-04,1995-09-19,9999-01-01,Engineer
66530,Dung,Leaver,1965-01-29,1993-01-15,9999-01-01,Senior Staff
66643,Jianhao,Tomescu,1965-01-18,1992-04-28,9999-01-01,Senior Engineer
66702,Deniz,Thibadeau,1965-02-01,1987-11-22,9999-01-01,Staff
66757,Yonghong,Baig,1965-01-16,1995-01-18,9999-01-01,Senior Staff
67548,Fumitaka,Roohalamini,1965-01-11,1997-08-25,9999-01-01,Engineer
67934,Aiman,Gargeya,1965-01-07,1999-11-15,9999-01-01,Senior Staff
68168,Marl,Thiria,1965-01-14,1999-07-03,9999-01-01,Engineer
68416,Munenori,Debuse,1965-01-27,1991-06-25,9999-01-01,Engineer
68633,Chinhyun,Rassart,1965-01-28,1996-10-15,9999-01-01,Staff
68648,Jaques,DiGiano,1965-01-25,1995-06-06,9999-01-01,Senior Engineer
69052,Shietung,Shrader,1965-01-26,1991-02-19,9999-01-01,Senior Staff
69219,Shuky,Redmiles,1965-01-09,1986-11-10,9999-01-01,Senior Engineer
69878,Chinya,Cooke,1965-01-24,1994-05-23,9999-01-01,Senior Engineer
69936,Lalit,Unni,1965-01-23,1989-09-21,9999-01-01,Staff
70469,Tru,Miyakawa,1965-01-12,1994-10-25,9999-01-01,Senior Engineer
70780,Behnaam,Angelov,1965-01-27,1996-10-26,9999-01-01,Staff
70990,Arumugam,Nitta,1965-01-22,1988-11-18,9999-01-01,Staff
71066,Domenick,Basart,1965-01-27,1986-02-08,9999-01-01,Assistant Engineer
71188,Pranjal,Schapiro,1965-01-02,1998-11-10,9999-01-01,Senior Staff
71334,Cathie,Peck,1965-01-15,1995-05-26,9999-01-01,Senior Staff
71685,Kristinn,Olano,1965-01-01,1987-12-18,9999-01-01,Engineer
71710,Hitomi,Takanami,1965-01-31,1995-05-02,9999-01-01,Senior Engineer
72190,Sajjad,Waeselynck,1965-01-19,1989-02-19,9999-01-01,Engineer
72194,Feiyu,Siepmann,1965-01-26,1986-12-13,9999-01-01,Senior Engineer
72232,Naraig,Veldwijk,1965-01-10,1992-12-30,9999-01-01,Senior Engineer
72640,Honglan,Hutton,1965-01-24,1989-09-20,9999-01-01,Senior Engineer
73076,Froduald,Feldhoffer,1965-01-22,2001-08-27,9999-01-01,Senior Staff
73743,Anneke,Bernardeschi,1965-01-15,1993-05-16,9999-01-01,Senior Staff
73794,Aiichiro,Castellani,1965-01-26,1997-11-29,9999-01-01,Staff
73903,Bartek,Cappello,1965-01-29,1989-12-09,9999-01-01,Senior Engineer
74200,Holgard,Weiland,1965-01-16,1994-09-12,9999-01-01,Staff
74344,Hiroyasu,Provine,1965-02-01,1996-02-27,9999-01-01,Staff
74598,Kolar,Garigliano,1965-01-07,1993-12-04,9999-01-01,Senior Staff
74800,Yuuichi,Conde,1965-01-25,1995-10-07,9999-01-01,Staff
75113,Zissis,Birch,1965-01-22,1993-10-23,9999-01-01,Staff
75354,Shuky,Jakobus,1965-01-11,1988-12-04,9999-01-01,Engineer
75703,Kyoichi,Erman,1965-01-08,1994-08-01,9999-01-01,Senior Engineer
75888,Marsal,Otillio,1965-01-31,1998-09-16,9999-01-01,Engineer
76178,Chiradeep,Meriste,1965-01-19,1989-12-03,9999-01-01,Engineer
76189,Kolar,Hinsberger,1965-01-02,1987-11-14,9999-01-01,Technique Leader
76201,Arif,Preusig,1965-01-10,1985-11-11,9999-01-01,Engineer
76417,Parviz,Duclos,1965-01-31,1996-04-13,9999-01-01,Staff
76598,Keung,Ferriere,1965-01-24,1992-06-02,9999-01-01,Staff
76640,Tristan,Mitsuhashi,1965-01-02,1988-11-24,9999-01-01,Technique Leader
77030,Faiza,Garnham,1965-01-02,1995-11-06,9999-01-01,Staff
77157,Tesuro,Nicolson,1965-01-14,1985-07-08,9999-01-01,Engineer
77303,Xinglin,Birge,1965-01-18,1996-08-30,9999-01-01,Senior Engineer
77647,Niranjan,Schaaf,1965-01-07,1993-02-13,9999-01-01,Senior Engineer
77815,Ronghao,Picaronny,1965-01-21,1995-05-06,9999-01-01,Assistant Engineer
78086,Fabrizio,Anick,1965-01-20,1988-10-09,9999-01-01,Engineer
78106,Ashish,Ratnaker,1965-01-09,1987-04-23,9999-01-01,Senior Staff
78171,Teiji,Hinsberger,1965-01-12,1987-06-28,9999-01-01,Staff
78363,Susumu,Fritzsche,1965-01-03,1992-11-08,9999-01-01,Engineer
78469,Leucio,Cappelli,1965-01-28,1994-02-08,9999-01-01,Staff
78871,Conor,Ghandeharizadeh,1965-01-15,1990-08-31,9999-01-01,Engineer
79043,Katsuo,Hockney,1965-01-24,1994-03-19,9999-01-01,Staff
79171,Guiseppe,Ellozy,1965-01-19,1999-08-26,9999-01-01,Engineer
79190,Tsuneo,Servi,1965-01-18,1991-05-26,9999-01-01,Staff
79239,Denny,Griswold,1965-01-07,1991-09-18,9999-01-01,Senior Engineer
79310,Jeong,Cunliffe,1965-01-24,1992-05-10,9999-01-01,Staff
79606,Arnd,Peir,1965-01-03,1995-07-03,9999-01-01,Senior Engineer
79640,Marl,Litzkow,1965-01-26,1985-10-13,9999-01-01,Engineer
79722,Make,Remmers,1965-01-17,1988-01-03,9999-01-01,Engineer
79763,Sanjoy,Barreiro,1965-01-20,1988-05-18,9999-01-01,Engineer
79895,Fei,Murtagh,1965-01-30,1999-03-21,9999-01-01,Senior Engineer
80067,Kazuhisa,Weiland,1965-01-19,1987-01-25,9999-01-01,Engineer
80203,Shakhar,Baik,1965-01-22,1997-09-07,9999-01-01,Technique Leader
80432,Stella,Figueira,1965-01-17,1997-06-24,9999-01-01,Senior Engineer
80656,Kwan,Gide,1965-01-09,1997-12-31,9999-01-01,Senior Engineer
80745,Rimli,Huttel,1965-01-09,1992-04-26,9999-01-01,Senior Staff
80850,Koldo,Luit,1965-02-01,1996-07-02,9999-01-01,Senior Engineer
80889,Shigeo,Linnainmaa,1965-01-07,1998-09-03,9999-01-01,Staff
80948,Harjit,Bardell,1965-01-27,1996-11-09,9999-01-01,Senior Engineer
81105,Jaewon,Boissier,1965-01-14,1999-04-29,9999-01-01,Engineer
81162,Marco,Klerer,1965-01-28,1998-12-09,9999-01-01,Senior Engineer
81545,Larisa,Kornyak,1965-01-13,1987-07-10,9999-01-01,Engineer
81619,Gen,Aloisi,1965-01-12,1992-06-23,9999-01-01,Staff
82098,Poornachandra,Wilharm,1965-01-25,1992-06-06,9999-01-01,Senior Staff
